Codigo,Municipio,Homens,Mulheres,Ano,RI
150010,ABAETETUBA,62504,70334,2022,Tocantins
150010,ABAETETUBA,47547,57830,2013,Tocantins
150013,ABEL FIGUEIREDO,2592,3060,2022,Rio Capim
150013,ABEL FIGUEIREDO,2222,2609,2013,Rio Capim
150020,ACARÁ,22480,25332,2022,Tocantins
150020,ACARÁ,17644,20039,2013,Tocantins
150030,AFUÁ,13335,14132,2013,Marajó
150030,AFUÁ,17807,17971,2022,Marajó
150034,ÁGUA AZUL DO NORTE,5091,6555,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,5390,6510,2013,Araguaia
150040,ALENQUER,19478,22925,2013,Baixo Amazonas
150040,ALENQUER,20617,25739,2022,Baixo Amazonas
150050,ALMEIRIM,10849,12148,2013,Baixo Amazonas
150050,ALMEIRIM,12725,13727,2022,Baixo Amazonas
150060,ALTAMIRA,31019,40164,2022,Xingu
150060,ALTAMIRA,21479,27981,2013,Xingu
150070,ANAJÁS,15319,15024,2022,Marajó
150070,ANAJÁS,11122,11512,2013,Marajó
150080,ANANINDEUA,95547,146398,2022,Guajará
150080,ANANINDEUA,62660,100944,2013,Guajará
150085,ANAPU,8663,9287,2013,Xingu
150085,ANAPU,12765,14193,2022,Xingu
150090,AUGUSTO CORRÊA,18721,19557,2013,Rio Caeté
150090,AUGUSTO CORRÊA,19452,20499,2022,Rio Caeté
150095,AURORA DO PARÁ,9208,10317,2022,Rio Capim
150095,AURORA DO PARÁ,8409,9292,2013,Rio Capim
150100,AVEIRO,6439,6492,2013,Tapajós
150100,AVEIRO,5642,5590,2022,Tapajós
150110,BAGRE,9454,10043,2022,Marajó
150110,BAGRE,7541,7520,2013,Marajó
150120,BAIÃO,11443,11786,2013,Tocantins
150120,BAIÃO,12695,13897,2022,Tocantins
150125,BANNACH,1211,1329,2022,Araguaia
150125,BANNACH,1218,1261,2013,Araguaia
150130,BARCARENA,32864,43408,2022,Tocantins
150130,BARCARENA,27524,35659,2013,Tocantins
150140,BELÉM,292803,426498,2022,Guajará
150140,BELÉM,171898,254710,2013,Guajará
150145,BELTERRA,6987,7618,2022,Baixo Amazonas
150145,BELTERRA,7585,7813,2013,Baixo Amazonas
150150,BENEVIDES,13284,17479,2013,Guajará
150150,BENEVIDES,20354,28617,2022,Guajará
150157,BOM JESUS DO TOCANTINS,4141,4887,2013,Carajás
150157,BOM JESUS DO TOCANTINS,4962,6030,2022,Carajás
150160,BONITO,4610,4870,2013,Rio Caeté
150160,BONITO,4920,5754,2022,Rio Caeté
150170,BRAGANÇA,41510,48796,2022,Rio Caeté
150170,BRAGANÇA,38144,42993,2013,Rio Caeté
150172,BRASIL NOVO,5060,5283,2013,Xingu
150172,BRASIL NOVO,7871,8102,2022,Xingu
150175,BREJO GRANDE DO ARAGUAIA,2805,3161,2022,Carajás
150175,BREJO GRANDE DO ARAGUAIA,2859,3470,2013,Carajás
150178,BREU BRANCO,14811,18909,2013,Lago Tucuruí
150178,BREU BRANCO,14225,18666,2022,Lago Tucuruí
150180,BREVES,43354,47026,2022,Marajó
150180,BREVES,32899,38213,2013,Marajó
